Waypoint Index,X (meters),Y (meters),Path Index
0,4.260000000000001,0.40000000000000036,0
1,0.41000000000000103,3.25,0
4,-2.539999999999999,7.450000000000001,0
5,-7.039999999999999,5.950000000000001,0
2,-3.34,0.15000000000000036,1
10,-6.34,1.5500000000000007,1
19,-7.039999999999999,3.0,1
3,-3.34,-2.8000000000000007,1
9,-6.34,-2.9000000000000004,1
20,-7.039999999999999,-1.4499999999999993,1
6,1.9600000000000017,-11.0,2
17,0.910000000000001,-9.3,2
21,0.8600000000000003,-7.800000000000001,2
16,2.7600000000000007,-5.9,2
22,0.910000000000001,-8.6,2
7,0.0600000000000005,-10.2,2
8,-1.4899999999999993,-6.55,3
15,-1.0399999999999991,-5.5,3
14,-1.0399999999999991,-4.75,3
12,-3.789999999999999,-7.550000000000001,3
11,-6.39,-7.45,3
18,-7.09,-5.95,3
13,-7.039999999999999,-9.85,3
